artista,oyentes,reproducciones,biografia,artistas_similares
Leto,55795,3270015,,"['Gazo', 'Kerchak', 'Ikaz boi', ""Jok'Air"", 'Nahir']"
Il Volo,102272,1964546,"Il Volo es un trío de cantantes italianos de ópera pop . Il Volo se compone de tres cantantes masculinos: Piero Barone, nacido el 24 de junio de 1993, Ignazio Boschetto, nacido el 4 de octubre de 1994 y Ginoble Gianluca, nacido el 11 de febrero de 1995. Forman un grupo de adolescentes que cantan temas de pop-ópera, se iniciaron en 2009 cuando se reunieron en un program musical italiano de la televisora RAI llamado «Ti Lascio Una Canzone», que se celebró en San Remo en la Riviera italiana. El ganador de ese show fue entonces joven de 14 años de edad Ginoble Gianluca proveniente de Roseto degli Abruzos, que está en la costa de la peninnsula italiana opuesta a Roma (en la costa del Adriático). Gianluca ganó el concurso en mayo de 2009 cantando un tema de su ídolo, la canción de Andrea Bocelli ""La Luna Che no C'e"". 

En la competencia con Gianluca Ginoble, estaban Piero Barone (15) de Agrigento Sicilia y Ignazio Boschetto (14), originario de Sicilia, pero que vive en Bolonia, en el norte de Italia. Hubo también muchos otros hombres jóvenes y cantantes de toda Italia en el concurso. 

Los tres jóvenes estaban entre los mejores de los cantantes masculinos, y fueron elegidos para interpretar una canción como un trío. El tema elegido para ellos fue una composición napolitana de 1898 ""O Sole Mio"", y que fue recibido con mucho éxito por los espectadores de la televisión italiana. 

Después de la competencia de los 3 tenores jóvenes cantaron juntos bajo el nombre de Tryo, más tarde Il Trio, y, finalmente, Il Volo. 

Su álbum titulo Il Volo fue lanzado el 17 de mayo 2011 justo antes de su aparición en la final de American Idol2 . Il Volo cantó 'O Sole Mio, que fue lanzado como sencillo en los EE.UU. a principios de 2011.  <a href=""https://www.last.fm/music/Il+Volo"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Irama', 'Andrea Bocelli', 'Diodato', 'Modà', 'Alessandra Amoroso']"
The Weeknd,4425147,800587663,"Abel Makkonen Tesfaye, mejor conocido por su nombre artístico The Weeknd (Toronto, Canadá, 16 de febrero de 1990), es un cantante, compositor y productor canadiense.

A finales de 2010, Tesfaye subió anónimamente varias canciones a YouTube bajo el nombre ""The Weeknd"". Lanzó tres mixtapes de nueve pistas a lo largo de 2011: House of Balloons, Thursday and Echoes of Silence, que eran muy aclamadas. Al año siguiente, lanzo su álbum recopilatorio titulado ""Trilogy"" con treinta pistas que consisten en versiones remasterizadas de su material mixtape y tres canciones adicionales. Fue puesto en el mercado por el sello musical Republic Records y XO. En 2013, lanzó su álbum debut Kiss Land, que fue reconocido por los singles ""Kiss Land"" y ""Live For"".

Su segundo álbum de estudio, Beauty Behind The Madness, que se convirtió en su primer álbum en llegar al número uno la lista Billboard 200, incluido el ""top cinco"" en diversas listas con su single ""Earned It"" y produjo los sencillos número uno The Hills y Can't Feel My Face. Las canciones han llegado simultáneamente a los tres primeros lugares en la lista Billboard Hot R&B Songs, convirtiéndose en el único artista del 2015 en hacerlo. The Weeknd ha recibido elogios de varias publicaciones musicales, incluyendo Pitchfork5 , MTV6 , BET7 , Rolling Stone8 , XXL9 y The Source. 

Tesfaye nació el 16 de febrero de 1990, en Toronto, Ontario, Canadá, y se crió en Scarborough, Él es de origen etíope, sus padres Makonnen y Samra emigraron de Etiopía en la década de 1980. Se crió escuchando una variedad de géneros musicales, incluyendo soul, quiet storm, hip hop, funk, indie rock, y post-punk.

El padre de Tesfaye nunca estuvo allí cuando él estaba creciendo, y su madre estaba trabajando constantemente, por lo tanto su abuela se hizo cargo de él la mayor parte de su vida. Debido a esto, Tesfaye habla con fluidez el amárico; fue el primer idioma que aprendió. Tesfaye dice que adoptó el nombre de ""The Weeknd"" después de abandonar la escuela secundaria a la edad de 17 años y, junto con un compañero, ""se fue un fin de semana y nunca llegó a casa"". La ortografía se modificó para evitar cuestiones de marcas con una banda canadiense que ya se llamaba ""The Weekend"".

En Toronto, Tesfaye conoció al productor Jeremy Rose, que tenía una idea para un proyecto musical de dark R&B llamado ""The Weeknd"". Después de tratar de lanzar la idea del músico Curtis Santiago, Rose compuso uno de sus temas instrumentales para Tesfaye, que puso un estilo libre sobre la canción, y comenzó a trabajar en un álbum. Él produjo de tres canciones ""What You Need"", ""Loft Music"", y ""The Morning"", y otros que Tesfaye criticado mordazmente en que Rose finalmente los haya desechado. Rose dejó que Tesfaye mantuviera las pistas que había producido bajo la condición de que, en última instancia, sería acreditado para ellos. Sin embargo, en diciembre de 2010, Tesfaye subió ""What You Need"", ""Loft Music"", y ""The Morning"" en YouTube bajo el nombre de ""The Weeknd"", aunque su identidad fue inicialmente desconocida. Las canciones llamaron la atención en línea a través de boca a boca, que incluye un blog con las canciones publicadas por el rapero canadiense Drake, quien también ayudó a generar interés en The Weeknd. Posteriormente recibió cobertura en puntos de venta como Pitchfork Media y The New York Times.

El 21 de marzo de 2011, Tesfaye lanzó el mixtape de la pista de nueve de House of Balloons a través de su página web.

El 27 de mayo de 2015, The Weeknd dio a conocer un video musical de su nueva canción ""The Hills"". La canción fue lanzada más adelante en formato de descarga digital como el primer sencillo del segundo álbum de estudio de The Weeknd titulado, Chapter III. ""The Hills"" debutó en el número 20 en el Billboard Hot 100, convirtiéndose en el debut ""Hot Shot"" de la semana; el single ha encabezado la lista en el primer puesto. Además de la versión oficial del single, otras tres canciones se filtraron en línea en días posteriores. El 8 de junio, ""Can't Feel My Face"", una de las pistas filtradas, fue lanzada oficialmente como segundo single tras una interpretación de la misma en la Apple Worldwide Developers Conference el mismo día. La canción debutó en el número 24 en el Billboard Hot 100 y alcanzó el número uno en el Hot 100, por lo que es su tercer sencillo en el top 10 y su primer hit número uno en los Estados Unidos. El 4 de julio, The Weeknd encabezó FVDED in the Park en Surrey, BC, Canadá.

En la lista Hot R & B Songs de Billboard para la semana del 25 de julio de 2015, The Weeknd mantenía ocupado todos los tres primeros lugares, con ""Can't Feel My Face"" en el número 1, ""The Hills"", en el número 2 y ""Earned It"" en el número 3.32 Esto lo convirtió en el primer artista en la historia de esa lista en ganar esta distinción.

Tras el anuncio de la puesta en marcha del nuevo servicio de streaming de Apple, Apple Music, que se dio a conocer que The Weeknd se había incorporado como una de las caras musicales junto con su frecuente colaborador Drake. Durante los Premios MTV Video Music del 2015, Apple estrenó una de los dos cortos promocionales con The Weeknd y una aparición especial de John Travolta.

El 28 de agosto de 2015, el segundo álbum de estudio de The Weeknd, Beauty Behind The Madness, fue puesto a la venta en el mercado y debutó en la cima del Billboard 200 en sus primeras semanas de ventas de 412.000 unidades equivalentes del ábum (con 326.000 de las ventas son solo del álbum). Además de convertirse en su primer álbum número uno en el país, su proyecto hasta el momento es el segundo lanzamiento más exitoso de 2015, detrás del de Drake If You're Reading This It's Too Late, con 535.000 unidades. Se convirtió en el primer álbum desde Taylor Swift (con su álbum 1989) en permanecer en la cima de la lista Billboard 200 durante tres semanas consecutivas. El álbum alcanzó el top 10 en más de diez países y encabezó las listas en Canadá, Australia, Noruega y el Reino Unido.38 39 The Weeknd encabezó la promoción de su álbum con carteles en los festivales musicales de verano, incluyendo Lollapalooza en Chicago, el Hard Summer Music Festival en Pomona, el Summer Set Music and Camping Festival en Somerset, Philadelphia's Made in America Festival, Austin City Limits en Austin y Seattle's Bumbershoot Festival. ""The Madness Fall Tour 2015"", es una gira norteamericana de The Weeknd para promocionar su nuevo álbum, se anunció el 20 de agosto de 2015, y comenzará en noviembre. La ​​gira contará con actuaciones de apertura de Travis Scott, Banks y Halsey. El 24 de agosto de 2015, The Weeknd dio a conocer un video de ""Tell Your Friends"", una canción producida por Kanye West.

En la semana del 8 de septiembre de 2015, The Weeknd se convirtió en el primer artista masculino en casi siete años con dos canciones en el Hot 100 en la misma semana, (con ""Can't Feel My Face"", en el número 2, y ""The Hills"" en el número 3), marcado como un acto sin precedentes.44 The Weeknd ha aparecido en varias colaboraciones este año, incluyendo una con Belly titulada ""Might Not"", con Meek Mill ""Pullin Up"" y Travis Scott, ""Pray 4 Love "". The Weeknd también aparece en el segundo álbum de Disclosure, Caracal, en una colaboración titulada"" Nocturnal "". El 10 de octubre de 2015, The Weeknd se unió al show donde conduce la actriz Amy Schumer, Saturday Night Live como invitado musical. Esta fue su primera actuación en el show como solista después de aparecer durante la presentación al lado de Ariana Grande con su sencillo ""Love Me Harder"".

Al 1 de diciembre de 2015, Beauty Behind The Madness se convirtió en el álbum con más reproducciones en streaming del 2015 con más de 60 millones de oyentes. Además de ser puesto en el número cinco en la lista de los 50 mejores álbumes de Rolling Stone de 2015. El 25 de diciembre de 2015, The Weeknd lanzó dos nuevas canciones, ""Low Life"" y una versión remezclada de ""Pass Dat"" de Jeremih.

También apareció en la canción ""FML"" del álbum del 2016 de Kanye West, The Life of Pablo.53 The Weeknd también aparece en la canción de Beyoncé ""6 Inch"" de su álbum, LEMONADE.

El 24 de agosto de 2016, se informó The Weeknd trabajó con el dúo francés Daft Punk, lo que se confirmo mediante una entrevista realizada por Billboard al vicepresidente ejecutivo de Republic Records, Wendy Goldstei. El 26 del mismo mes, Cashmere Cat lanzó un sencillo de su nuevo disco, ""Wild Love"", y The Weeknd aparece en los coros.

El 21 de septiembre de 2016, The Weeknd anunció el nombre de su tercer álbum de estudio, Starboy. El álbum constaria de 18 pistas y seria lanzado a través Republic Records. Al día siguiente se lanzó la canción principal, con un título homónimo al del álbum que cuenta con Daft Punk. Starboy será lanzado el 25 de noviembre.

The Weeknd cita a R. Kelly, Michael Jackson y Prince como sus principales fuentes de inspiración. A menudo se dice que la música de Jackson y la letra de ""Dirty Diana"" fue la que le hizo querer ser cantante. También dijo que su estilo vocal de altos vuelos fue influenciado por cantantes habesha como Aster Aweke.

Las canciones de The Weeknd están ""construidas alrededor de un empañada producción crepuscular"", y cuentan con tiempos lentos, el bajo retumbante y ecos tristes. The Weeknd canta en un falsete registrado, y exhibe un escrito tono ansioso. JD Considine encuentra una ""calidad trémula"" en su canto similar al de Michael Jackson, pero escribe que evita una ""fuerte base en el blues"" de Jackson para un melisma más de influencia árabe. Su música incorpora muestras que son poco convencionales la producción de canciones de R&B, incluyendo punk y rock alternativo. Marc Hogan de ""Spin"" dice que las muestras de The Weeknd tienden ""a sacar de fuentes aprobadas por criticos de rock, aunque en general ya comparten elementos de amenaza sexual"", con muestras de artistas como Beach House, Siouxsie and the Banshees, y Aaliyah. The Weeknd trabajó principalmente con los productores Illangelo y Doc McKinney, quien de Pitchfork Media, Ian Cohen acredita con el desarrollo de ""un R&B que se convertirá en un estado del arte"" con The Weeknd. En concierto, The Weeknd reapropia sus producciones digitalizadas con una estética de las arenas de rock similares.

Sus emocionales, lastimadoras letras a menudo expresan sentimientos de dolor y lidiar con el tema de sexo,65 las drogas, y la fiesta. Hermione Hoby de The Guardian caracteriza las canciones The Weeknd como atascos lentos de narcoticos, su mensaje como ""la fiesta es una experiencia existencial, el sexo está lleno de alineación, y todo lo que se registra como irreal e inquietante"". Paul MacInnes de The Guardian interpreta ""Trilogy"" de The Weeknd como ""una trayectoria aproximada del partido, después de la fiesta y resaca"". Anupa Mistry de Toronto Standard observa que a través de sus mixtapes un ""elenco de decúbito supino, mujeres zombi empedradas ... cuyas piernas voluntariamente parten después de haber sido recorrídas con sustancias y que se transforman en amenazas sólo cuando [es] bajan y se sientes vulnerables"". The Weeknd vio que, al cantar vulgares e ignorantes letras de una manera elegante, sexy, es rendir homenaje a R. Kelly y hasta cierto punto a Prince.

The Weeknd ha recibido elogios de muchos artistas musicales. El veterano artista Babyface que habló positivamente de The Weeknd declaró: ""Me encanta The Weeknd, su forma en que está trabajando, está usando piezas de R & B con otras cosas que se sienten realmente bien"". ""Es prometedor en el sentido de que creo que hay otras incógnitas que vendrán hacia delante y lo volverá un músico. Creo que más que nada, lo que ha hecho es lo que los músicos forman en el proceso.""Durante el segundo Annual OVO Fest en 2011, el rapero Drake expresó su pensar sobre The Weeknd en una entrevista con Billboard. ""Es uno de los más grandes artistas que he escuchado"", dice Drake. ""Para escuchar a alguien con un increíble cuerpo de trabajo es muy raro. Es muy inspirador. Formamos OVOXO, que está asumiendo el control en este momento. Estoy orgulloso de él. Trabaja muy duro. No es más que una persona increíble, [es] un amigo muy cercano a mí. ""Kanye West publicó un tweet diciendo"" The Weeknd es uno de mis artistas favoritos "". Nick Jonas dijo que The Weeknd era una de sus influencias para su álbum en solitario, en una entrevista con Fuse. <a href=""https://www.last.fm/music/The+Weeknd"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Tory Lanez', 'Black Atlass', 'Drake', 'PARTYNEXTDOOR', 'Brent Faiyaz']"
The Yellow Diary,19607,394426,,"['When Chai Met Toast', 'The Local train', 'Taba Chake', 'Prateek Kuhad', 'Dream Note']"
Thomas Stenström,63634,1903076,,"['Mares', 'Håkan Hellström', 'Daniel Adams-Ray', 'Victor Leksell', 'Linnea Henriksson']"
Bayaan,17983,568428,,"['Kaavish', 'Abdul Hannan', 'Atif Aslam', 'maanu', 'Sajjad Ali']"
Indila,609773,10547778,"Adila Sedraia mejor conocida por su nombre artístico Indila, es una cantante y compositora francesa, nació el 26 de Junio de 1984 en París, Francia. Ingresó al mundo del espectáculo gracias a sus múltiples colaboraciones con artistas reconocidos, entre los que se cuentan a OGB, Rohff, Soprano, TLF, Nessbeal, L'Algérino, DJ Abdel y Youssoupha. Estrenó su primer sencillo como artista en solitario Dernière Danse, el 13 de noviembre de 2013; el mismo que forma parte de su disco Mini World, que salió la venta el 24 de febrero de 2014. El sencillo rápidamente se convirtió en un éxito, alcanzando el segundo lugar en las listas de popularidad francesas. <a href=""https://www.last.fm/music/Indila"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Louane', 'Maître Gims', 'Faouzia', 'Vitaa', 'Hoshi']"
Rohata Zhaba,3039,67273,,"['Харцизи', 'Zwyntar', 'Жадан і собаки', 'Лея', 'NAZVA']"
Robin Schulz,1104537,19247268,"Robin Alexander Schulz, (Osnabrück, Baja Sajonia, Alemania; 28 de abril de 1987) es un DJ y productor alemán de música electrónica. Es co-fundador junto a Daniel Bruns y Christopher Noble de la discográfica Lausbuben Records.

Empezó a pinchar a los 17 años de edad y captó la atención mediante sus remezclas lanzados a través de SoundCloud. A principios de 2014 comienza a ganarse un nombre en la escena musical por su versión remezclada de «Waves» del artista holándes de hip hop Mr. Probz, la cual fue descubierta a través de su página de SoundCloud. 

A mediados de 2014, vuelve a llamar la atención con otro de sus remezclas. Esta vez lo hace con un tema original del año 2010 del dúo francés de pop-folk Lilly Wood & the Prick titulado «Prayer in C». Ambos remixes lideraron las listas en varios países europeos, lo que lleva al reconocimiento internacional. En septiembre de 2014 tiene previsto el lanzamiento de su álbum de remixes titulado Prayer. <a href=""https://www.last.fm/music/Robin+Schulz"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Felix Jaehn', 'Lost Frequencies', 'Sam Feldt', 'Kygo', 'Sigala']"
masego,850593,16249044,,[]
Summer Walker,1389518,79808251,"Summer Marjani Walker (Atlanta, 11 de abril de 1996)1​ es una cantante y compositora estadounidense de R&B, asociada a las discográficas LoveRenaissance e Interscope. Su álbum debut de estudio, Over It, fue publicado el 4 de octubre de 2019 recibiendo buenas reseñas de la crítica especializada. El disco vendió cerca de 130 mil copias en su primera semana y debutó en la segunda posición de la lista de éxitos Billboard 200. <a href=""https://www.last.fm/music/Summer+Walker"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Jhené Aiko', 'Mariah the Scientist', 'Kehlani', 'Ari Lennox', 'Tink']"
Kazzabe,3751,32956,,"['Las Chicas Rolands', ""Los Roland's"", 'Los Silver Star', ""Las Chicas Roland's"", 'LOS GATOS BRAVOS']"
El Blachy,1240,11322,,"['El Rubio Acordeón', 'Urbanda', 'Eury swing y la Banda ideal', 'Geovanny Polanco', 'BANDA REAL']"
Ernia,52470,3929754,,"['Emis Killa', 'Fabri Fibra', ""Dargen D'Amico"", 'Rocco Hunt', 'Articolo 31']"
Rondé,52119,1080204,,"['Son Mieux', 'Meau', 'Froukje', 'Causes', 'Wies']"
Sum 41,3010878,123004222,"Sum 41 es una banda de Punk rock originaria de Ajax, Canadá. Sus miembros originales fueron Deryck Whibley, Jason McCaslin, Steve Jocz y Dave Baksh pero hoy en dia esta formada por Deryck Whibley, Jason McCaslin y Tom Tucker (que se hizo miembro oficial en 2011) ya que Dave (Ex Guitarrista Principal) dejo la banda en 2006 para empezar con su projecto ""Brown Brigade"" y actualmete ""2013"" dejo la banda Steve Jocz por el cansancio que le provocaban las giras hasta ahora andan sin baterista y por lo menos no se dijo nada de nuevo baterista en 2013. La banda recibe ese nombre ya que se creó 41 días después de que comenzara el verano (en inglés ""Summer"") de 1996. 

Desde la firma de un acuerdo con Island Records en 1999, la banda ha lanzado cinco álbumes de estudio, dos CD en vivo, dos DVD en vivo, un recopilatiorio y más de quince singles, dando cómo resultado millones de copias vendidas alrededor del mundo. Desde 2006, la banda ha realizado más de 600 recitales y su última gira por el mundo se dio a conocer mundialmente por durar más de un año.

Los Comienzos y Half Hour Of Power (1996 - 2000) 

Los miembros de Sum 41 comenzaron como bandas rivales en la escuela primaria. Bromean sobre que se conocieron en un concierto de Hole, 41 días después de que comenzara el verano de 1996. De acuerdo con el sitio web Supernova, la banda fue llamada originalmente Kaspir y cambiaron su nombre al de Sum 41 para un show de Supernova el 28 de septiembre de 1996. El sitio web también declara que fueron descubiertos por Greig Nori de Treble Charger en un concierto de Supernova en la Casa Opera de Toronto, el 24 de febrero de 1996. Sin embargo, su actual bajista, Cone, se unió a la banda en 1999, después de que la banda hubiera probado a otros varios anteriormente.

La banda utilizó una cámara de video casera para filmar sus payasadas que incluían el robo de una pizzería con armas de agua y la realización de un baile para Makes No Difference en frente a un teatro (Ambas imágenes pueden ser vistas en Introduction to Destruction y en algunas versiones del DVD Does This Look Infected?).

La banda presentó sus vídeos y algunas demos a varias compañías discográficas. Island Records, pretendiendo introducirse en el mundo Pop Punk, con grupos como Green Day y Blink 182 que se encontraban de moda, firmó contrato con Sum 41 a comienzos del año 2000.

Sum 41 lanzó su primer álbum Half Hour of Power el 27 de junio de 2000. El primer single lanzado por la banda fue Makes No Difference, que tenía dos vídeos diferentes. El primero, que había sido enviado a las discográficas, fue unido al segundo que mostraba a la banda tocando en una fiesta de campo.

All Killer No Filler, Does This Look Infected? (2000 - 2004) 

El primer álbum de larga duración de Sum 41, All Killer No Filler, fue lanzado el 8 de mayo de 2001, y su primer single fue Fat Lip, que se convirtió en uno de los hits del verano, quedando en el primer puesto en emisoras de rock de los Estados Unidos por una semana. Las presentaciones en el Warped Tour durante ese año incrementaron aún más la popularidad de la banda.

Otras dos canciones lanzadas fueron, In Too Deep, con un vídeo cómico en una competición de zambullidas y Motivation, con un video simple de la banda tocando en un clásico garaje. La banda realizó un tour durante gran parte de ese año, con 300 shows en 2001, incluyendo un recital con Blink 182 antes de volver a los estudios para la grabación del próximo CD.

El 26 de noviembre de 2003, Sum 41 lanzó su segundo álbum de larga duración llamado Does This Look Infected?, alterando ligeramente su estilo - con introducciones algo más pesadas - pero manteniendo la armonía lisa por la que se habían hecho conocidos. El primer single de éste álbum fue Still Waiting que los tenía en un simulado ""nuevo-garaje"" retro bajo el nombre de ""The Sums"", en forma de parodia a uno de los vídeos de The Strokes.

Al éxito de Still Waiting le siguió el de The Hell Song, esta última canción no tiene video (hecho por la banda), pero si uno hecho por los fans, donde la banda es un grupo de muñecos con fotografías de sus caras y las de otros como Ozzy Osbourne y Pamela Anderson. Su siguiente canción, Over My Head (Better Off Dead), tenía un video realizado completamente en Canadá y sobre su sitio web, mostrando diferentes tomas en vivo de la banda. El video fue además incluido en su DVD en vivo, Sake Bombs And Happy Endings (2004), como un bonus. Recibió una transmisión limitada en varias estaciones musicales de televisión en Estados Unidos y el Reino Unido.

Después de una larga gira para promocionar el álbum, Iggy Pop invitó a Sum 41 para su nuevo álbum, Skull Ring. La banda ayudó a escribir la primera canción del álbum Little Know It All y participaron con Iggy en The Late Show with David Letterman para promover la canción.

Chuck, Underclass Hero (2004 - 2008) 

Sum 41 lanzó el disco Chuck el 12 de octubre de 2004. Su primer single fue We're All To Blame. El álbum lo llamaron así por Chuck Pelletier, miembro de las fuerzas de paz de las Naciones Unidas que salvó las vidas de los integrantes de la banda y otros 40 civiles mientras que la banda estaba grabando un documental sobre la guerra en la República Democrática del Congo para War Child Canada, un DVD benéfico llamado Rocked: Sum 41 in Congo que está a la venta a través de internet.

La banda lanzó un disco en vivo poco antes de la retirada de Dave, el cual titularon Go Chuck Yourself. Este disco es la grabación de un show en Ontario durante la gira del mismo nombre que el disco. Es durante estos años en los que la banda comienza una etapa de madurez, con ejemplos como las letras de sus canciones, de índole más cercana a la política, y también con la boda de Deryck con la cantante Avril Lavigne.

El 2005 gana, un Grammy en la categoría mejor canción rock.

El 11 de mayo de 2006, Dave Baksh anuncia su retiro de Sum 41 para trabajar en su nueva banda llamada Brown Brigade, no hay datos que indiquen ninguna mala relación con el resto de miembros, e incluso ha tocado con ellos posteriormente como invitado.

El 24 de julio de 2007 salió a la venta su hasta la fecha último trabajo discográfico Underclass Hero lanzando como primer single la canción homónima Underclass Hero.

En últimos videos (grabaciones en su estudio), fue visto otro miembro tocando con ellos, Thomas William Thacker, de la banda GOB, como guitarra solista y coros.

Screaming Bloody Murder (2009 - 2012) 

El 7 de agosto de 2008, McCaslin anunció en un diario en el sitio oficial de la banda que la banda está actualmente de tomar tiempo libre de las giras para hacer otras cosas. Después, ellos comienzan a trabajar en nuevo álbum de estudio de la banda. McCaslin trabajó en el segundo álbum de su proyecto paralelo, The Operation M.D. Jocz realizó una gira como baterista de The Vandals, y Whibley, de gira con su esposa, Avril Lavigne.
Sum 41 lanzó un comunicado de prensa que mencionó que debido al éxito de Underclass Hero, Universal Music tomó la opción de que Sum 41 produciera un EP en 2009. Sin embargo, Deryck declaró que el nuevo EP fue rápidamente convirtiendo en un LP, debido a la cantidad de música que habían grabado, que era más de lo esperado. La banda entró al estudio a finales de 2008 un plan para el lanzamiento del álbum en algún momento durante 2009, con una gira de apoyo en el verano.
El 26 de noviembre de 2008 Sum 41 lanzó 8 Years Of Blood, Sake And Tears, un álbum de grandes éxitos, en Japón. El álbum incluye una canción inédita, ""Always"", y un DVD, que contiene cada uno de los videos de la banda. En febrero de 2009, la banda dijo que debido al éxito y la demanda para el álbum de grandes éxitos, que habían, decidió divulgarlo en todo el mundo, aunque con un título diferente y obras de arte. El 17 de marzo, All The Good Shit fue lanzado con buenas obras de arte diferentes y un título diferente.

A principios de 2009 la banda publicó All The Good Shit, similar al recopilatorio lanzado en Japón, pero de lanzamiento en el mundo occidental, durante este año la banda ha anunciado estar en proceso de grabación de un nuevo álbum, con un sonido muy duro, y han realizado presentaciones por varios países (Japón o Rusia) y participado en algunos festivales. Durante este periodo de giras, Tom Thacker ha participado en presentaciones y entrevistas, por lo que se le considera como nuevo miembro oficial de la banda.

Screaming Bloody Murder salió a la venta en todo el mundo el 29 de marzo de 2011, presentando un Sum 41 más oscuro y roquero, con un sonido bastante parecido a su cuarto disco Chuck y más concretamente a la canción 'We're All to Blame, tal y como habían anunciado los integrantes en diferentes ocasiones. En septiembre de 2012, publicaron el video para el sencillo ""Blood In My Eyes"" en su canal oficial de Youtube  

Futuro Album: En Adelante..... (2013) 

Los integrantes decidieron hacer una gira para celebrar los 10 años de su álbum Does This Look Infected?. Esta gira les llevaba desde Asia hasta América, pasando por Europa y Oceanía.

Deryck confirmó en una entrevista que después de la gira el grupo entrará al estudio para grabar su nuevo álbum. El nuevo disco se espera para finales de 2013 o a principios de 2014.

El 8 de abril de 2013 el baterista Steve Jocz anuncia su retiro de la banda, esto dijo en la pagina oficial de  
Sum 41:

Lamento anunciar que he decidido dejar Sum 41

Ir de gira con la banda ha sido una experiencia increíble que nos ha llevado mucho más allá de nuestro espacio de vieja práctica en el sótano de mis padres a un sinnúmero de países de todo el mundo. He tenido la oportunidad de ver y experimentar mucho y por eso estoy muy agradecido , Sólo quiero dar las gracias a todos nuestros fans por hacer los últimos 17 años posibles. (Yo ""FedeSax5"" edite esto que faltaba en wikipedia y un par de cosas mas) 

Me lo pasé genial
Gracias de nuevo, Stevo 

Estilo e Influencias Musicales: 

En cuanto a su tendencia musical Sum 41 señalo; que en sus comienzos fueron influenciados fuertemente por NOFX. Otra Influencia en su música fueron ""Beastie Boys"" especialmente en el disco All Killer No Filler. Por otra parte el hip-hop y el rapcore se encontró en los singles Fat Lip y What We're All About. Posteriormente con el álbum Does This Look Infected? la banda comento que poseía una música un poco más pesada e influenciada por ""The Offspring"", y algunas otras provenientes del metal, bandas como Iron Maiden, ejemplo inspiración de esta es la cita ""Maiden and Priest were the gods that we praised"" (""Maiden y Priest son los dioses que alababamos""), Claramente hacen referencia a ""Iron Maiden"" y ""Judas Priest"". El álbum Chuck ofrece una serie de canciones que pueden ser comparadas con la música thrash metal, nombrando a ""Metallica"" como la principal influencia de su música metal ""FedeSax5"" 

Videos Musicales: 

Makes No Difference: (Hay 2 videos diferentes pero igualmente oficiales) 
In Too Deep 
Fat Lip 
Motivation 
Still Waiting 
The Hell Song 
Over My Head (Better Off Dead) /Live/ 
Pieces 
We're All To Blame 
What We're All About (Spiderman 1) 
Some Say 
Walking Disaster 
With Me 
Underclass Hero 
Blood In My Eyes
Baby You Don't Wanna Know 
Screaming Bloody Murder (No Oficial, pero igual en la cuenta de Youtube oficial, son varios videos en vivo de ellos interpretando la cancion y el video de ellos interpretandola en el ""Guitar Center"" donde tambien interpretaron ""Scumfuck"" una gran cancion pero no es un Single  ""FedeSax5"" De Nada 



 <a href=""https://www.last.fm/music/Sum+41"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['blink-182', 'Zebrahead', 'Good Charlotte', 'The Offspring', 'Yellowcard']"
Senidah,28640,1329844,,"['zalagasper', 'Edita', 'Nikolija', 'Ana Nikolić', 'Jala Brat']"
Alex Velea,17551,275202,,"['Connect-R', 'Tzanca Uraganu', 'Smiley', 'Costel Biju', 'Florin Salam']"
Maiara & Maraisa,212898,7694934,,"['Marília Mendonça', 'Zé Neto & Cristiano', 'Henrique & Juliano', 'Hugo & Guilherme', 'Simone Mendes']"
Yaşlı Amca,34883,1230292,,"['Dolu Kadehi Ters Tut', 'son feci bisiklet', 'Yüzyüzeyken Konuşuruz', 'Adamlar', 'Duman']"
Mace,61336,2517636,"MIDWEST HARDCORE

Bee - Vocals
Chris - Drums
Harold - Bass
Chap - Guitar

https://macehc.bandcamp.com/ <a href=""https://www.last.fm/music/Mace"">Read more on Last.fm</a>. User-contributed text is available under the Creative Commons By-SA License; additional terms may apply.","['Machete', 'Kaos', 'Hirax', 'NIGHT SKINNY', 'Venerus']"
Mrs. GREEN APPLE,297343,7218988,,"['back number', 'Official髭男dism', 'tuki.', '優里', 'SEKAI NO OWARI']"
